u,v
2288,2422
2288,2516
2288,2517
2288,2519
2288,2520
2288,2521
2288,2524
2288,2527
2288,2529
2288,2539
2288,2559
2288,2560
2288,2561
2288,2562
2288,2583
2288,2587
2288,2592
2288,2593
2289,2550
2289,2551
2289,2583
2295,2568
2305,2380
2323,2561
2330,2385
2339,2561
2342,2585
2352,2353
2352,2581
2353,2579
2354,2581
2354,2584
2380,2381
2382,2568
2385,2572
2390,2568
2391,2438
2391,2568
2392,2415
2392,2553
2401,2561
2416,2552
2431,2552
2432,2552
2434,2474
2440,2460
2447,2542
2451,2577
2473,2570
2482,2552
2492,2493
2504,2547
2506,2546
2544,2548
2544,2580
2548,2580
2553,2568
2561,2562
2561,2593
2568,2644
2579,2580
2581,2584
2587,2592
2615,2621
2624,2631
2631,2632
2647,2700
2648,2654
2653,2672
2654,2679
2655,2672
2655,2737
2655,2741
2658,2661
2658,2664
2658,2671
2658,2676
2661,2662
2662,2671
2664,2747
2664,2770
2667,2750
2668,2676
2668,2678
2668,2679
2668,2695
2668,2696
2668,2766
2675,2676
2675,2686
2681,2684
2690,2704
2690,2764
2701,2751
2702,2751
2704,2762
2707,2780
2708,2780
2711,2780
2714,2715
2717,2722
2721,2722
2727,2728
2728,2731
2733,2736
2733,2737
2734,2738
2736,2737
2736,2738
2739,2740
2749,2752
2796,2911
2797,2798
2797,2909
2798,2804
2799,2852
2799,2859
2799,2860
2799,2917
2802,2803
2803,2812
2804,2805
2804,2806
2805,2806
2806,2863
2806,2864
2806,2869
2806,2874
2808,2814
2808,2880
2808,2884
2808,2887
2808,2891
2808,2897
2808,2901
2808,2902
2813,2956
2818,2834
2820,2969
2827,2830
2827,2832
2828,2844
2833,2866
2834,2835
2834,2838
2842,2939
2846,2968
2847,2968
2848,2908
2849,2914
2852,2914
2881,2968
2923,2978
2936,2941
2973,2978
